,tract_id,RCAPorECAP,MajorityMinority,HispanicConcentration,BlackAfricanAmConcentration,AsianConcentration,PovertyConcentration,DisabledConcentration,LinguisticallyIsolatedConcentration,ForeignBornConcentration,census_id,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
125,18.44,NO,YES,NO,NO,NO,NO,NO,NO,NO,18.44,0.3512,0.0471,0.491,0.7024,0.3445
126,18.45,NO,NO,NO,NO,NO,NO,NO,NO,NO,18.45,0.2208,0.1403,0.2711,0.5974,0.2649
127,18.46,NO,NO,NO,NO,NO,NO,NO,NO,NO,18.46,0.0754,0.0849,0.3131,0.0674,0.0445
128,18.47,NO,YES,NO,NO,NO,NO,NO,NO,YES,18.47,0.2239,0.1117,0.5321,0.4893,0.2806
129,18.48,NO,YES,NO,NO,NO,NO,NO,NO,YES,18.48,0.207,0.1567,0.6117,0.2894,0.2489
130,18.49,NO,YES,NO,NO,NO,NO,NO,NO,YES,18.49,0.1613,0.0052,0.4914,0.3116,0.0948
131,18.5,NO,YES,NO,NO,NO,NO,NO,NO,YES,18.5,0.1483,0.0138,0.4194,0.5778,0.1601
132,18.51,NO,NO,NO,NO,NO,NO,NO,NO,NO,18.51,0.1009,0.1339,0.4646,0.3865,0.2002
133,18.53,NO,NO,NO,NO,NO,NO,NO,NO,NO,18.53,0.0437,0.0784,0.2576,0.0963,0.0415
134,18.54,NO,YES,NO,NO,NO,NO,NO,NO,NO,18.54,0.6564,0.6359,0.6917,0.4172,0.6192
135,18.55,NO,YES,NO,NO,NO,NO,NO,NO,NO,18.55,0.1145,0.3359,0.3186,0.0936,0.1244
136,18.56,NO,YES,NO,NO,NO,NO,NO,NO,YES,18.56,0.2106,0.2033,0.6544,0.34700000000000003,0.2923
137,18.57,NO,YES,NO,NO,NO,NO,NO,NO,NO,18.57,0.193,0.3895,0.5769,0.4558,0.3453
138,18.58,NO,NO,NO,NO,NO,NO,NO,NO,NO,18.58,0.1161,0.092,0.3506,0.0823,0.0689
139,18.59,NO,NO,NO,NO,NO,NO,NO,NO,NO,18.59,0.262,0.2916,0.4818,0.1954,0.247
140,18.6,NO,YES,NO,NO,NO,NO,NO,NO,NO,18.6,0.3545,0.7703,0.624,0.7008,0.5944
141,18.61,NO,NO,NO,NO,NO,NO,NO,NO,NO,18.61,0.2601,0.1422,0.6181,0.0921,0.1887
142,18.62,NO,YES,NO,NO,NO,NO,NO,NO,NO,18.62,0.337,0.4018,0.6278,0.4517,0.4334
143,18.63,NO,YES,NO,NO,NO,NO,NO,NO,YES,18.63,0.5271,0.1098,0.6961,0.3425,0.4113
144,18.64,NO,YES,NO,NO,NO,NO,NO,NO,NO,18.64,0.1767,0.2771,0.5539999999999999,0.3015,0.2607
145,19.01,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.01,0.0483,0.0295,0.0827,0.1691,0.023
146,19.08,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.08,0.2112,0.21899999999999997,0.3467,0.867,0.3954
147,19.1,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.1,0.0884,0.293,0.1152,0.5964,0.2192
148,19.11,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.11,0.0393,0.0067,0.1232,0.233,0.0171
149,19.12,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.12,0.1462,0.1429,0.0947,0.5114,0.1797
150,19.13,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.13,0.0017,0.0948,0.2189,0.0267,0.0077
151,19.14,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.14,0.0518,0.0504,0.0624,0.2013,0.0405
152,19.15,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.15,0.13699999999999998,0.2334,0.1037,0.7699,0.2708
153,19.16,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.16,0.0044,0.0841,0.1429,0.0109,0.0019
154,19.17,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.17,0.0595,0.2041,0.1169,0.0439,0.0321
155,19.18,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.18,0.0827,0.38,0.0951,0.18,0.12
156,19.19,NO,NO,NO,NO,NO,NO,NO,NO,NO,19.19,0.0065,0.2585,0.0821,0.0146,0.0088
157,20.02,NO,NO,NO,NO,NO,NO,NO,NO,NO,20.02,0.2298,0.1345,0.3708,0.3746,0.225
158,20.03,NO,YES,NO,NO,NO,NO,NO,NO,YES,20.03,0.633,0.1707,0.6925,0.5295,0.5409
159,20.04,NO,NO,NO,NO,NO,NO,NO,NO,NO,20.04,0.2983,0.0236,0.1896,0.5381,0.185
160,20.05,NO,YES,NO,NO,NO,NO,NO,NO,NO,20.05,0.3741,0.1328,0.6102,0.9655,0.5697
161,21.04,NO,YES,NO,NO,NO,NO,NO,NO,NO,21.04,0.4491,0.0828,0.6912,0.2832,0.3361
162,21.05,NO,YES,YES,NO,NO,NO,NO,YES,YES,21.05,0.6864,0.1251,0.7824,0.9244,0.7056
163,21.06,NO,YES,NO,NO,NO,NO,NO,NO,YES,21.06,0.5139,0.4656,0.5941,0.7749,0.6144
164,21.07,NO,YES,NO,YES,NO,NO,NO,NO,NO,21.07,0.5471,0.4432,0.7576,0.9658,0.7564
165,21.08,YES,YES,NO,YES,NO,YES,NO,NO,YES,21.08,0.6503,0.8253,0.778,0.8497,0.8188
166,21.09,NO,YES,NO,YES,NO,NO,NO,NO,NO,21.09,0.5465,0.4098,0.5666,0.9271,0.6733
167,21.1,NO,YES,YES,YES,NO,NO,NO,NO,NO,21.1,0.9066,0.5735,0.7185,0.8311,0.8543
168,21.11,NO,YES,YES,NO,NO,NO,NO,NO,NO,21.11,0.8206,0.375,0.7998,0.8081,0.7935
169,21.12,NO,YES,NO,NO,NO,NO,NO,YES,YES,21.12,0.9095,0.547,0.7532,0.9292,0.8959999999999999
170,21.13,NO,YES,NO,NO,NO,NO,NO,NO,YES,21.13,0.511,0.0935,0.6188,0.5302,0.4357
171,22.01,NO,YES,NO,YES,NO,NO,NO,NO,YES,22.01,0.6954,0.9385,0.9032,0.2825,0.7292
172,22.02,NO,YES,YES,YES,NO,NO,NO,YES,YES,22.02,0.8839,0.7697,0.9353,0.9908,0.9808
173,22.07,NO,YES,NO,YES,NO,NO,NO,NO,NO,22.07,0.5843,0.5696,0.7606,0.4389,0.6015
174,22.08,YES,YES,YES,NO,NO,YES,NO,YES,YES,22.08,0.8724,0.4827,0.84,0.8647,0.8639
175,22.09,NO,YES,NO,NO,NO,NO,NO,NO,NO,22.09,0.7495,0.4547,0.6667,0.2859,0.5837
176,22.1,NO,YES,NO,NO,NO,NO,NO,NO,NO,22.1,0.5803,0.2838,0.6711,0.3686,0.4898
177,22.11,NO,YES,YES,NO,NO,NO,NO,YES,YES,22.11,0.5034,0.1857,0.7958,0.502,0.5065
178,22.12,NO,YES,YES,NO,NO,NO,NO,NO,NO,22.12,0.7082,0.4185,0.7176,0.2184,0.5493
